Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7
mbrainz_16961,Original Sun Singles '56-'60,"Lewis, Jerry Lee",2009-02-24,United States of America,"['Crazy Arms', 'End of the Road', ""Whole Lot of Shakin' Going On"", ""It'll Be Me"", 'Great Balls of Fire', 'You Win Again', 'Breathless', 'Down the Line', 'High School Confidential', 'Fools Like Me', 'Lewis Boogie', 'The Return of Jerry Lee', 'Break-Up', ""I'll Make It All Up to You"", ""I'll Sail My Ship Alone"", 'It Hurt Me So', ""Lovin' Up a Storm"", ""Big Blon' Baby (1) (master)"", ""Let's Talk About Us"", 'The Ballad of Billy Joe', 'Little Queenie', 'I Could Never Be Ashamed of You', 'Old Black Joe', 'Baby, Baby, Bye Bye', 'Hang Up My Rock and Roll Shoes', 'John Henry', 'When I Get Paid', 'Love Made a Fool of Me']",32.95 minutes
mbrainz_16967,The Great Escape,Noidz,2008-01-01,Portugal,"['Close Encounter', 'Alienoidz Theme', 'The Great Escape', 'Blast Waves', 'XXM Lightyears', 'Sonic Boom', 'Space Zone', 'We Have Arrived', 'Decoding the Code', 'Root Sounds From Earth']",
mbrainz_17001,Supernatural,Tiger Milk,2012-04-16,Estonia,"['Prologue', 'Another World', 'All the Drugs', 'Define Love', 'Story of My Life', 'The Game', 'When Your Heart Dies', 'Ruins of the Lost Realm', 'International Band', 'Cut the Cord (Tiger Milk remix)']",
mbrainz_17006,Behaviour Self (orig.),"Marlo, Clair (and others)",1997-01-22,Japan,"['Wish', 'Too Close', 'Break the Chain', 'Whatever It Takes', 'Universal Love', 'Move Closer', 'Going Down to Liverpool', 'No More Than I', 'Your Secret Is Safe With Me', 'Dominique']",
mbrainz_17009,THE SEVENTH NIGHT ~UNPLUGGED~,GACKT,2004-05-26,Japan,"['å?›ã?®ã?Ÿã‚?ã?«ã?§ã??ã‚‹ã?“ã?¨', 'Mind Forest', 'å?›ã?Œå¾…ã?£ã?¦ã?„ã‚‹ã?‹ã‚‰', 'æ˜Ÿã?®ç\xa0‚', 'ã?“ã?®èª°ã‚‚ã?„ã?ªã?„éƒ¨å±‹ã?§', 'U+K', 'Papa lapped a pap lopped', 'Mirror', 'Uncertain Memory', 'å?›ã?Œè¿½ã?„ã?‹ã?‘ã?Ÿå¤¢', 'Last Song']",
mbrainz_17012,The Greatest of the Best,"Apokalyptischen Reiter, Die feat.",2011-11-18,Germany,"['Die Boten', 'Adrenalin', 'Es wird schlimmer', 'Der Seemann', 'We Will Never Die', 'Die Sonne scheint', 'Du kleiner Wicht', 'Nach der Ebbe', 'Wir reiten', 'Unter der Asche', 'Friede sei mit dir', 'Revolution', 'Das Paradies', 'Der Weg', 'Komm', 'Erhelle meine Seele', 'The Fire', 'Riders on the Storm', 'Reitermania', 'Metal Will Never Die']",
mbrainz_17018,Bravo muchachos y sus grandes Ã©xitos,"BosÃ©, Miguel",,,"['Bravo muchachos', 'Linda', 'Anna', 'Te amarÃ©', 'Creo en ti', 'Don Diablo', 'Son amigos', 'Morir de amor', 'Super Superman', 'MÃ¡rchate ya']",
mbrainz_17029,Reverence to Stone,Samothrace,2012-07-23,United States of America,"['When We Emerged', 'A Horse of Our Own']",
mbrainz_17035,Come to Daddy,"Davis, Tyrone",2003-01-01,United States of America,"['Dogg', 'Bangin The Headboard', 'Come To Daddy', 'Tease', 'Rock Me', 'Whip Appeal', 'Slide On Over', 'Back That Thang Up', 'Wrong Place', 'You Are', 'I Wake Up Crying', 'The Ties That Bind']",
mbrainz_17072,Turn On the Bright Lights,Interpol,2002-08-25,Japan,"['Untitled', 'Obstacle 1', 'NYC', 'PDA', 'Say Hello to the Angels', 'Hands Away', 'Obstacle 2', 'Stella Was a Diver and She Was Always Down', 'Roland', 'The New', 'Leif Erikson', 'Interlude', 'Specialist']",
mbrainz_17076,The Dark Illuminati: A Celestial Tragedy in Two Acts,Coph Nia,2007-05-25,Sweden,"['The End', 'The New Oath', 'Fire', 'Credo V', 'Sympathy for the Devil', 'Drinking to the Angel of the East', 'Religion', 'Hymn to Lucifer']",
mbrainz_17077,Return to Forever,GB Arts,1998-01-01,Germany,"['City of Light', 'Prophecy', 'Return to Forever', 'The Storm', 'Falling Rain', 'Behind the Mirror', 'Strange World', 'Through the Centuries', 'Time to Go', 'Parade of the Innocence']",
mbrainz_17081,A Sign of Sublime,"Deva, Sarah Jezebel",2010-01-01,United Kingdom of Great Britain and Northern Ireland,"['Genesis', 'A Sign of Sublime', 'She Stands Like Stone', 'The Devils Opera', 'They Called Her Lady Tyranny', 'The Road to Nowhere', 'Your Woeful Chair', 'New Born Failure', ""Daddy's Not Coming Home"", 'Bitch']",
mbrainz_17086,Continuum Sonore,Maninkari,2012-07-16,France,"['Continuum Sonore, Part 1', 'Continuum Sonore, Part 2', 'Continuum Sonore, Part 3', 'Continuum Sonore, Part 4', 'Continuum Sonore, Part 5', 'Continuum Sonore, Part 6']",
mbrainz_17101,Sverige Casino,Tysta Mari,2009-04-25,Sweden,"['Salt i mina sÃ¥r', 'Sverige Casino', 'Fyrans buss', 'SÃ¥ kallt', 'Junkie / KÃ¤rlek', 'Hyran dÃ¶dar lÃ¶nen', 'NÃ¥n stacks ner', 'Sateliterna', 'StÃ¤md i moll', 'Samma sÃ¥ng', 'Hundar', 'Vampyrer i Sthlm']",
mbrainz_17102,Je vais encore dormir tout seul ce soir...,Elmer Food Beat,1991-01-01,France,"['Ridy Oh', 'Lucie', 'VÃ©ronique', 'Yasmina', ""Si tu veux m'arrÃªter"", 'Moi et Zarbie', ""Roland l'cradoss"", 'Dans ta bouche', 'Manou dis nous tout', 'Le Premier Poil', 'Les traversÃ©es sont solitaires', ""Je n'aime que ma guitare"", ""Je n'en peux plus"", 'Je vais encore dormir tout seul ce soir...']",
mbrainz_17113,The Brentford Trilogy,"Lowe, Nick",2009-07-06,United Kingdom of Great Britain and Northern Ireland,"['Soulful Wind', 'The Beast in Me', 'True Love Travels on a Gravel Road', 'Trail of Tears', 'Shelley My Love', 'Whereâ€™s My Everything?', '12â€?Step Program (to Quit You Babe)', 'Lover Donâ€™t Go', 'Driveâ€?Thru Man', 'Withered on the Vine', 'I Live on a Battlefield', '14 Days', 'Iâ€™ll Be There', 'Faithless Lover', 'Lonesome Reverie', 'You Inspire Me', 'What Lack of Love Has Done', 'Time I Took a Holiday', 'Failed Christian', 'Man That Iâ€™ve Become', 'Freezing', 'High on a Hilltop', 'Lead Me Not', 'I Must Be Getting Over You', 'Cold Grey Light of Dawn', 'Homewrecker', 'Only a Fool Breaks His Own Heart', 'Lately Iâ€™ve Let Things Slide', 'Sheâ€™s Got Soul', 'Cupid Must Be Angry', 'Indian Queens', 'Poor Side of Town', 'Iâ€™m a Mess', 'Between Dark and Dawn', 'Bygones (Wonâ€™t Go)', 'Has She Got a Friend?', 'Letâ€™s Stay in and Make Love']","['2242', '2266']"
mbrainz_17122,A Nu-Experience,"System, Primitive Sound",,,"['Plastic Fantastic', 'Figure Me Out', 'Virgin Suprise', 'Run Da Luxe', 'Slow Motion', 'You and I', 'Mr B Loved', 'Midnight Snack', 'U Shine', 'Outwards', 'Love Is in the Air', 'Inversions']",
mbrainz_17127,Architecture of Perfect Damnation,Urshurark feat.,2002-01-01,,"['Triumphant in Pandemonium', 'Hallucinated Messiah', 'Excellent Art of Cruelty', 'Decade of the Tyrant', 'A Puzzle of Flesh', 'Solar - Execution - Eclipse', 'At the Palace of Moloch', 'Antichrist Maniac']",
mbrainz_17143,Elevator Music,Brotherhood Foundation,1996-01-01,Netherlands,"['Back', 'Standing In Line', 'Raw (Version 3.1)', 'Plan A', 'Change Yourself', 'Quicky', 'Pervert', 'Side Two', 'Lucky', 'Imperfect', 'Software', 'No Flowers', 'Human Bomb', 'Elevator Music', 'Turn Off']",
mbrainz_17160,Fallen Innocence,"Drakes, Valance",2012-06-14,Japan,"['Pulse of Awakening', 'Lost Song of Forgotten Melodies', 'Making a Road for Freedom', 'On Earth as It Is in Heaven', 'Phantom in the Cloud', 'Pulse of Awakening (trorez remix)', 'On Earth as It Is in Heaven (sanmi remix)', 'Phantom in the Cloud (N-qia remix)']",
mbrainz_17166,Armenian Medieval Spiritual Music,"Zakaryan, Lusine",1995-01-01,,"['Sourb-Sourb', 'Haroutian Meghedi', 'Aravot Louso', 'Ur Es Mair Im', 'Bats Mes Ter', 'Havoun Havoun', 'Khorhourd Khorin', 'Tiramayr', 'Horzham']",
mbrainz_17167,Country Classics,Confederate Railroad,2001-01-01,United States of America,"['Queen of Memphis', 'Daddy Never Was the Cadillac Kind', 'Elvis and Andy', 'Summer in Dixie', 'See Ya', 'She Never Cried', 'When and Where', 'Trashy Women', 'Move Over Madonna', 'Roll the Dice']",
mbrainz_17173,Primary Colors / Local Live,Finally Punk,2008-01-01,United States of America,"['Boyfriend Application', 'Bitchwitch', 'Pirahna', 'Australia', 'Jazz Hit', 'Negative Creep', 'JD vs GR', 'Primary Colors', 'Dear Diary', 'Know Age', 'Henry', 'Baldcake']",
mbrainz_17179,Reverence,"Bona, Richard",2001-01-01,United States of America,"['Invocation (A Prophecy)', 'Bisso Baba (Always together)', 'Suninga (When Will I Ever See You)', 'Ekwa Mwato (Affirmation of the Spirit)', 'Sweet Mary (Everyone Has a Choice)', 'Reverence (The Story of a Miracle)', 'Te Misea (A Scream to Save the Planet)', 'Muntula Moto (The Benediction of a long Life)', 'Laka Mba (Plea for Forgiveness)', ""Ngad'a Ndutu (Widow's Dance - Celebration Of A New Life)"", 'Esoka (Trust Your Heart)', 'Mbanga Kumba (Two cities, One Train)']",
mbrainz_17203,Visions Of Time,Mystic Cross,1995-01-01,United States of America,"['Victory Intro', 'Dying Breed', 'Out Of Nowhere', 'All Outta Love', 'Endless Flight', 'Mr. Lonely', 'Alas Babylon', 'Restless Heart', 'Now Until Forever', 'Sword Of Truth']",
mbrainz_17212,Blackout: The Dark Years,"Deep Eynde, The",2008-01-01,United States of America,"['My Darkest Hour', 'Scream', 'Red Necklace', 'Voodoo Baby', '13th Floor', 'Swingtime', 'Transformation', 'Sandman', 'Road Rash', 'Animal Garden (Feral remix)', 'Ignite', 'Tongues', 'Strangewalk', 'Majick Man', 'The Feast', 'Deep Dark Secret', 'Parfumery', 'Four Four Four']",
mbrainz_17217,You Belong to Me / Pretty Boy (Pretty Girl),"Stafford, Jo",1952-01-01,United States of America,"['You Belong to Me', 'Pretty Boy (Pretty Girl)']",
mbrainz_17220,Where a Country Boy Belongs,"Marshall Tucker Band, The",2006-02-28,United States of America,"['Heard It in a Love Song', 'Low Down Ways', 'Never Again', 'I May Be Easy but You Make It Hard', ""If That Isn't Love"", 'If I Could Only Have My Way', 'Too Stubborn', 'Heartbroke', 'When Love Begins to Fade', 'Losing You', 'Bags Half Packed', 'Try One More Time', ""See You Later, I'm Gone"", ""Feel a Drunk Comin' On"", ""Good Ole Hurtin' Song"", 'Driving You Out of My Mind', 'Blue Ridge Mountain Sky', 'Where a Country Boy Belongs', 'Stay in the Country', 'Cold Day in July', ""Time Don't Pass by Here"", ""Walkin' the Streets Alone"", 'Mr. President', 'Hillbilly Band', 'Blood Red Eagle', 'Down We Go', 'Tan Yard Road', 'All My Rowdy Friends Have Settled Down', 'And the Hills', ""Daddy's Eyes"", 'Walk Outside the Lines', ""Ab's Song""]",55.12 minutes
mbrainz_17238,Nightmares In Reality EP,Culprate,2012-08,,"['Hall of Mirrors', 'Two', 'Nightmares in Reality', 'Tooth Fairy', 'Diablo']",
mbrainz_17263,Camera Obscura,Aesthesys,2011-01-01,,"[""Once You're Born You Can No Longer Hide"", 'Halfway Out of the Dark', 'Scrolling In Mind Images Of The Past Day Before Falling Asleep', 'Dreams Are Only Real As Long As They Last', 'Light Slivers Of Memory', 'Decipimur Specie Recti', ""I Am Free, That Is Why I'm Lost"", ""I Feel The Life Is Sorrowful And Unbearable Though I Can't Flee Away Since I Am Not A Bird"", 'Time Is An Illusion', 'Elegy', 'Limbo', 'All That Fall']",
mbrainz_17264,From Beyond the Vein,Tunes of Despair,2011-09-16,"Korea, Republic of","['Eleven TÅ±z (Flames Alive)', 'The Unspeakable', 'To Open Doors (To Be Devoured)', 'Gates to the Slumbering Depths', 'The Waves of Bleeding', 'Into Dissolution']",
mbrainz_17285,Nocturne,Wild Nothing (and others),2012-08-28,United States of America,"['Shadow', 'Midnight Song', 'Nocturne', 'Through the Grass', 'Only Heather', 'This Chain Wonâ€™t Break', 'Disappear Always', 'Paradise', 'Counting Days', 'The Blue Dress', 'Rheya']",
mbrainz_17311,Dogboy Vs. Monsters,Flipron,2007-01-01,United Kingdom of Great Britain and Northern Ireland,"['Dogboy vs. Monsters', 'Cartoons, Astronomy etc.', 'Skeletons on Holiday (Singing Bones Acoustic Version)']",
mbrainz_17326,Second Coming (album),Battalion of Saints,1983-01-01,United States of America,"['Second Coming', 'Intercourse', 'Solitary Is Fun']",
mbrainz_17355,Country Classics,"Whitman, Slim",1997-04-14,United Kingdom of Great Britain and Northern Ireland,"['Rose Marie', 'Indian Love Call', 'Let Me Call You Sweetheart', 'Somewhere My Love (Lara\'s Theme From ""Dr. Zhivago"")', 'My Elusive Dreams', 'When You Were Sweet Sixteen', 'Love Song of the Waterfall', ""I'll Take You Home Again Kathleen"", 'Have I Told You Lately That I Love You', 'Happy Anniversary', 'Beautiful Dreamer', 'When You Were a Tulip and I Wore a Big Red Rose', 'Serenade', 'Roses Are Red (My Love)', 'Girl of My Dreams', 'Edelweiss', ""Oh My Darlin' (I Love You)"", 'The Twelfth of Never', ""Can't Help Falling in Love With You"", 'You Are My Sunshine']",
mbrainz_17356,"The Past, the Present, the Future",Mark 'Oh,2009-11-20,Germany,"['Scatman (Clubmix)', ""Don't Leave Me"", 'Bomb', '7 Days A Week', 'United (Single Long Version)', 'La La', 'Flash And Thunder', 'Randy', ""Tears Don't Lie (Original Short Mix)"", 'Your Love (Original radio Mix)']",
mbrainz_17357,Epitaph,"Wall, The",1981-01-01,United Kingdom of Great Britain and Northern Ireland,"['Epitaph', 'Rewind', 'New Rebel']",
mbrainz_17392,Fall of the Plastic Empire,Burning Brides,2002-01-01,United Kingdom of Great Britain and Northern Ireland,"['Plank of Fire', 'Glass Slipper', ""If I'm a Man"", 'Arctic Snow', 'At the Levity Ball', 'Stabbed in the Back of the Heart', 'Rainy Days', 'Elevator', 'Blood on the Highway', 'Plastic Empire', 'See You Empty']",
mbrainz_17402,Grinderman 2: RMX,Grinderman,2012-03-26,United Kingdom of Great Britain and Northern Ireland,"['Super Heathen Child', 'Worm Tamer (A Place to Bury Strangers remix)', 'Bellringer Blues (Nick Zinner remix)', 'Hyper Worm Tamer', 'Mickey Bloody Mouse (Joshua Homme remix)', 'When My Baby Comes (Catâ€™s Eyes with Luke Tristram)', 'Palaces of Montezuma (Barry Adamson remix)', 'Evil (Silver Alert remix)', 'When My Baby Comes (SixToes remix)', 'Heathen Child (Andrew Weatherall bass mix)', 'Evil (â€˜The Michael Cliffe Houseâ€™ remix)', 'First Evil']",
mbrainz_17408,The Best of Q65: Nothing but Trouble 1966-68,Q65,2008-01-01,United Kingdom of Great Britain and Northern Ireland,"['Cry in the Night', 'From Above', 'I Got Nightmares', 'The Life I Live', 'I Despise You', 'World of Birds', 'Youâ€™re the Victor', 'Just Whoâ€™s in Sight', 'It Came to Me', '80% O', 'Spoonful', 'Ann', 'So High Iâ€™ve Been, So Down I Must Fall', 'Sour Wine', 'Iâ€™m a Man', 'Summer Thoughts in a Field of Weed', 'Down in the Bottom', 'Middle-Age Talk', 'And Your Kind', 'No Place to Go', 'Fairy Tales of Truth', 'Where Is the Key', 'I Was Young', 'Ridinâ€™ on a Slow Train']",
mbrainz_17410,Ton absence,"Duteil, Yves",,France,"['Pour les enfants du monde entier', 'Ã€ ma mÃ¨re', ""Jusqu'oÃ¹ je t'aime"", 'Le Silence ou la VÃ©ritÃ©', 'La Valse des Ã©tiquettes', 'Ton absence', 'La mer ressemble Ã\xa0 ton amour', 'La Rumeur', 'Les Petits Hommes verts', 'Regard impressionniste']",
mbrainz_17412,Contradictions Collapse / None,Meshuggah,2001-01-01,Germany,"['Paralyzing Ignorance', 'Erroneous Manipulation', 'Abnegating Cecity', 'Internal Evidence', 'Qualms of Reality', ""We'll Never See the Day"", 'Greed', 'Choirs of Devastation', 'Cadaverous Mastication', 'Humiliative', 'Sickening', 'Ritual', 'Gods of Rapture']",
mbrainz_17417,Take Me to Your Leader,Hawkwind,2005-09-12,United Kingdom of Great Britain and Northern Ireland,"['Spirit of the Age', 'Out Here We Are', 'Greenback Massacre', 'To Love a Machine', 'Take Me to Your Leader', 'Digital Nation', 'Sunray', 'Sighs', 'Angela Android', 'A Letter to Robert']",
mbrainz_17418,Encore un jour de notre amour,"Lagrange, ValÃ©rie",1965-10,France,"['Encore un jour de notre amour', 'Pour te plaire', 'Je me demande pourquoi', 'Je suis la femme']",
mbrainz_17436,Learning to See,"Gioconda, Pete",2011-04-29,United Kingdom of Great Britain and Northern Ireland,"[""Heaven's Wild Flower"", 'Darkened Images', 'We Are Real', 'Little Monkey', 'Lazybones', 'Alien Cat Lover', 'Eyes', 'Molly G', 'Queen of the Future', 'Learning to See', 'Save Your Dreams', 'The Charm of Making', 'Maaan', 'Golly Gee']",
mbrainz_17466,Rock Steady Rodeo,Reggae Cowboys,,,"['Reggae Rodeo', 'Wild West Indian', 'Like a Rolling Stone', 'Lighten Up', 'Geronimo', 'Road Show', ""Jesse's Theme"", 'Because of the Gun', 'Reggae on the River', ""All That Drinkin'"", 'Gold Rush', 'De Agenda', 'Redemption Song']",
mbrainz_17474,Thought for Food,Diesel Park West,2000-01-01,Germany,"['Satellite Day', 'Marionettes', 'Valentine Why?', 'Forever Partners (Balaclava 1854)', 'Spirit in a Dark World', 'Desiree', 'Fabulous Child', 'You St. Catherine', 'Too Much', 'Back in the Box', 'The Big Surprise', 'Little Hands', 'Picture of You']",
mbrainz_17496,The Spirit Indestructible,"Furtado, Nelly",2012-09-18,United States of America,"['Spirit Indestructible', 'Big Hoops (Bigger the Better)', 'High Life', 'Parking Lot', 'Something', 'Bucket List', 'The Most Beautiful Thing', 'Waiting for the Night', 'Miracles', 'Circles', 'Enemy', 'Believers (Arab Spring)', 'Hold Up', 'End of the World', 'Donâ€™t Leave Me', 'Be OK', 'Thoughts', 'Thoughts (TiÃ«sto remix)']",
mbrainz_17504,The Very Best of the Greatest,Flopstarz (and others),1992-01-01,Denmark,"['Min kÃ¦reste Rita', 'Nul grammy', 'Nede hos frisÃ¸ren', 'Flopfeber', 'Agent 006', 'Sket er sket', 'FlÃ¸jtende ligeglad', ""Jungleman'Danz"", 'Bossy Bo', 'NÃ¥r alt er forbi', 'RÃ¸verhistorien', 'FlÃ¸jtende ligeglad (12"" extended mix)']",
mbrainz_17520,Lightning Bolt,"Bugg, Jake",2013-03-19,United States of America,Lightning Bolt,
mbrainz_17543,Hints of Innuendo,Queen,1991-01-07,United States of America,"['All Godâ€™s People', 'The Show Must Go On', 'Innuendo', 'Ride the Wild Wind', 'Bijou', 'Headlong', 'Iâ€™m Going Slightly Mad', 'I Canâ€™t Live With You', 'These Are the Days of Our Lives', 'Donâ€™t Try So Hard', 'The Hitman', 'Delilah']",
mbrainz_17547,The Singles,Blessid Union of Souls,2001-02-27,United States of America,"['Hey Leonardo (She Likes Me for Me)', 'And Then She Hit Me', 'Storybook Life (feat. 3 XL)', ""That's the Girl I've Been Telling You About (radio edit)"", 'I Believe (Punky Irie mix)', 'Standing at the Edge of the Earth', 'Brother My Brother', 'Light in Your Eyes', 'Let Me Be the One', 'Oh Virginia', 'I Wanna Be There', 'All Along', 'Hey Leonardo (She Likes Me for Me) (live)', 'I Believe', 'Rev It Up (Nascar Rocks)']",
mbrainz_17559,Archaeology of the Future,Vadoinmessico,2012-03-26,United Kingdom of Great Britain and Northern Ireland,"['Archaeology of the Future', 'Pepita, Queen of the Animals', 'Teeo', 'In Spain', 'Curling Up Your Spine', 'The Adventure of a Diver', 'Me, Desert', 'Fleur Le Tue', 'Notional Towns', 'The Colours Are Strange', 'Pond', 'Cave', 'Solau', '[untitled]']",
mbrainz_17562,Elevator,Endless Shame,2012-10-26,Italy,"['Freakshow', 'Hear Me Now', 'Winter Skies', 'I Am Nothing', 'Lack of Communication', 'Universe', 'Rites', 'Twilight Zone', 'People of the Sun', 'Saviour']",
mbrainz_17572,Mango Sunrise,Food Pyramid feat.,2012-01-01,United States of America,"['Mango Sunrise', 'Who Careosel', 'Orange Alert', 'Oh Mercy', 'The Thief', 'Burger Night (version)', 'Cosmo Canyon', 'I Know What I Saw', 'Extender']",
mbrainz_17575,Sehnsucht: Die Balladen 1984-1999,Purple Schulz,1999-04-09,Germany,"[""Ich will raus (Sehnsucht) '99"", 'Nur mit dir', 'Mit dem RÃ¼cken an der Wand', 'Kinderleicht', 'Du kommst und du gehst', 'Keine Zeit zu weinen', 'Dumm und reich', 'Warum nicht wir', 'Gemeinsam', 'Kleine Seen', 'Halt mich fest', 'Noch ein Tag, noch ein Jahr', 'Gib mir', 'VermiÃŸt', 'Sehnsucht (Original-Singleversion)', 'Immer nur leben']",
mbrainz_17583,Emerald Forest and the Blackbird (orig.),Swallow the Sun,2012-02-01,,"['Emerald Forest and the Blackbird', 'This Cut Is the Deepest', 'Hate, Lead the Way!', 'Cathedral Walls', 'Hearts Wide Shut', 'Silent Towers', 'Labyrinth of London (Horror, Part IV)', 'Of Death and Corruption', 'April 14th', 'Night Will Forgive Us']",
mbrainz_17594,The Man Who Couldn't Stop (album),Caustic,2012-10-09,United States of America,"['Failing at the School of Life', 'Laugh Like Mutants', 'Man-E-Faces (Caustic version)', 'Bleed You Out', 'Ghost Like Swayze', 'Bury You Alive', 'Bigger Better Faster NOW!!!', 'PigEatBone', 'Stains on the Coattails', 'Zen Castrato', 'Graver Guru', 'We Never Learn', 'Internet Model', ""The Man Who Couldn't Stop"", 'Suck Me Dry', 'Demon Seed Semen Deed', 'Collide With Me', 'Fin (Again) Begin (Again)']",
